RefDes,Name,Pattern,X (mm),Y (mm),Side,Rotate,Value
C1,CAP_0603_EIA,C0603_EIA,4.65,8.4,Top,0,100nF
C2,CAP_1210,1210,4.8,23.8,Top,0,47uF 16V
C3,CAP_1210,1210,4.8,26.9,Top,0,47uF 16V
C4,CAP_1210,1210,4.8,30,Top,0,47uF 16V
C5,CAP_1210,1210,4.8,33.1,Top,0,47uF 16V
C6,CAP_1206_EIA,C1206_EIA_2MLAX,24,40.2,Top,90,100nF 250V
C7,CAP_1206_EIA,C1206_EIA_2MLAX,21.9,40.2,Top,90,100nF 250V
C8,CAP_0603_EIA,C0603_EIA,11.95,5.7,Top,0,10nF
C9,CAP_0603_EIA,C0603_EIA,4.65,11.2,Top,0,22nF
C10,CAP_0603_EIA,C0603_EIA,4.65,12.6,Top,0,100pF
C11,CAP_0603,0603,15.6,10.35,Top,270,10uF 16V
D1,RFN1LAM6STR,SOD-128,13.8,39.5,Top,270,
L1,DA2032,DA2032,21.04,24.15,Top,90,
M1,IRLR3110ZTRPBF,PG-TO252-3-DPAK,20.5,5.6,Top,270,
R1,R_0603_EIA,R0603_EIA,4.65,7,Top,0,140k
R2,R_1206_EIA,R1206_EIA_2MLAX,10,41.5,Top,0,1M 200V
R3,R_0603_EIA,R0603_EIA,4.65,9.8,Top,0,10k
R4,R_1206_EIA,R1206_EIA_2MLAX,12.6,1.8,Top,0,0.02
R5,R_0603_EIA,R0603_EIA,14,4.85,Top,270,22
R6,R_0603_EIA,R0603_EIA,7,11.85,Top,90,10k
R7,R_0603_EIA,R0603_EIA,8.4,39.05,Top,90,58.3k
R8,R_0603_EIA,R0603_EIA,11.55,12.7,Top,180,140k
U1,LT3757,MSOP-10EP,10.9,8.5,Top,0,
